Order_ID,Order_Date,Customer_ID,Customer_Name,City,Restaurant_Name,Food_Category,Item_Name,Quantity,Order_Value,Discount,Delivery_Fee,Delivery_Time_Minutes,Order_Status,Payment_Method,Restaurant_Rating,Transaction_ID
ORD000178,2025-12-20,CUST02215,Sneha,Bangalore,"Pizza Point",Biryani,"Chicken Burger",3,1638.96,37.84,80.55,26,Delivered,Unknown,4.5,12
ORD000005,2025-11-13,CUST00814,Pooja,Bangalore,"Biryani House",Burger,Margherita,2,1888.17,262.59,52.27,10,Delivered,Wallet,3.0,13
ORD000063,2025-09-23,CUST00441,Amit,Delhi,"Biryani House","South Indian","Paneer Pizza",3,2468.03,66.30,85.78,77,Cancelled,Unknown,3.5,14
ORD000179,2024-05-03,CUST02617,Pooja,Mumbai,"Food Factory",Burger,"Veg Burger",4,2247.97,221.54,81.99,58,Delivered,UPI,4.2,15
ORD000294,2025-10-12,CUST02857,Sneha,Hyderabad,"Burger Hub",Burger,Dosa,4,1982.70,205.31,82.86,46,Delivered,Wallet,2.9,16
ORD000006,2025-10-05,CUST00824,Anjali,Bangalore,"Biryani House","South Indian","Ice Cream",4,2089.18,48.15,70.86,78,Cancelled,Unknown,3.1,17
ORD000007,2025-04-24,CUST01275,Karan,Hyderabad,"Spice Kitchen",Burger,"Ice Cream",4,2301.68,186.02,69.81,88,Pending,UPI,4.7,18
ORD000064,2025-03-31,CUST01803,Pooja,Pune,"Urban Tadka",Burger,"Ice Cream",2,1490.54,245.54,87.39,28,Cancelled,Unknown,4.3,19
ORD000295,2025-06-24,CUST02373,Priya,Delhi,"Pizza Point","North Indian","Paneer Pizza",6,2189.24,255.99,47.08,55,Delivered,Cash,3.5,20
ORD000180,2024-05-14,CUST02869,Rohan,Bangalore,"Pizza Point",Biryani,"Veg Burger",2,2454.18,17.40,70.69,50,Pending,Cash,3.3,21
ORD000008,2024-03-14,CUST01026,Rohan,Bangalore,"Urban Tadka",Pizza,"Ice Cream",5,296.27,262.79,79.54,51,Delivered,Card,3.9,22
ORD000065,2024-08-27,CUST00687,Anjali,Bangalore,"Pizza Point",Dessert,Dosa,2,746.69,160.94,69.78,66,Cancelled,UPI,4.7,23
ORD000066,2024-01-31,CUST01784,Amit,Delhi,"Spice Kitchen",Dessert,Margherita,3,1025.95,9.26,40.31,18,Delivered,Wallet,4.3,24
ORD000181,2025-01-22,CUST02256,Pooja,Chennai,"Pizza Point",Dessert,"Veg Burger",5,2251.50,299.86,97.42,81,Delivered,Unknown,2.7,25
ORD000182,2024-08-26,CUST00829,Anjali,Mumbai,"Burger Hub","North Indian","Chicken Burger",2,1465.78,111.55,82.65,75,Cancelled,Wallet,4.2,26
ORD000296,2024-09-19,CUST02455,Rahul,Delhi,"Biryani House",Biryani,"Paneer Pizza",6,547.88,2.10,90.65,19,Cancelled,Wallet,5.0,27
ORD000067,2024-03-06,CUST00370,Priya,Hyderabad,"Pizza Point",Pizza,"Veg Burger",4,690.01,297.50,50.79,61,Delivered,Card,3.8,28
ORD000297,2025-02-24,CUST01629,Sneha,Chennai,"Biryani House","South Indian","Veg Burger",6,780.28,203.85,87.03,19,Delivered,UPI,3.6,29
ORD000298,2024-08-03,CUST00269,Rohan,Bangalore,"Burger Hub",Dessert,"Ice Cream",2,999.07,269.70,52.16,29,Delivered,Unknown,4.5,30
ORD000183,2024-08-28,CUST00956,Unknown,Mumbai,"Food Factory",Dessert,"Chicken Biryani",3,1861.60,246.63,34.50,52,Delivered,UPI,5.0,31
ORD000299,2024-06-05,CUST00860,Rohan,Pune,"Pizza Point","South Indian","Chicken Biryani",2,409.26,178.91,39.08,40,Pending,Wallet,2.9,32
ORD000009,2024-03-08,CUST01319,Karan,Bangalore,"Food Factory",Dessert,Margherita,3,1730.31,53.02,82.95,79,Delivered,Wallet,4.3,33
ORD000011,2025-04-05,CUST01465,Amit,Delhi,"Food Factory","South Indian","Ice Cream",4,803.55,76.27,28.47,24,Delivered,UPI,3.6,34
ORD000184,2024-10-01,CUST01676,Unknown,Chennai,"Urban Tadka","South Indian","Ice Cream",6,1268.76,75.78,83.58,81,Delivered,Unknown,4.9,35
ORD000185,2025-03-18,CUST00939,Pooja,Delhi,"Pizza Point",Biryani,"Chicken Biryani",3,1108.71,16.94,87.27,59,Pending,Unknown,3.4,36
ORD000035,2025-06-22,CUST01784,Unknown,Pune,"Pizza Point","South Indian",Margherita,2,2007.93,76.81,97.00,22,Delivered,Wallet,3.0,37
ORD000013,2025-10-11,CUST00946,Rahul,Pune,"Pizza Point",Biryani,"Chicken Burger",2,2010.87,66.81,31.04,80,Delivered,Unknown,3.0,38
ORD000014,2025-06-09,CUST01235,Karan,Chennai,"Spice Kitchen",Burger,Margherita,2,301.05,125.41,57.33,45,Cancelled,UPI,4.0,39
ORD000015,2024-03-20,CUST02418,Rohan,Pune,"Burger Hub",Pizza,"Paneer Pizza",2,1958.50,112.18,44.58,38,Cancelled,Cash,3.6,40
ORD000186,2025-08-17,CUST00845,Sneha,Bangalore,"Food Factory",Burger,"Veg Burger",4,164.54,238.46,39.01,45,Delivered,Wallet,3.6,41
ORD000187,2024-08-16,CUST00605,Amit,Bangalore,"Pizza Point",Biryani,"Chicken Burger",5,323.92,70.18,48.04,28,Pending,Card,4.5,42
ORD000188,2024-04-03,CUST02940,Amit,Bangalore,"Spice Kitchen",Burger,"Veg Burger",5,2437.65,239.68,97.87,64,Delivered,UPI,3.4,43
ORD000189,2024-09-14,CUST00538,Rohan,Bangalore,"Pizza Point","South Indian",Dosa,6,1029.62,61.41,24.27,48,Cancelled,Wallet,2.9,44
ORD000016,2024-07-25,CUST02706,Pooja,Mumbai,"Spice Kitchen","North Indian","Chicken Biryani",3,2009.84,121.20,34.39,25,Delivered,Cash,4.5,45
ORD000018,2025-02-08,CUST02956,Anjali,Pune,"Biryani House",Pizza,"Paneer Pizza",1,605.09,218.78,97.70,25,Cancelled,Wallet,2.9,46
ORD000019,2025-09-22,CUST01467,Sneha,Chennai,"Urban Tadka",Burger,"Paneer Pizza",4,2404.96,61.71,31.85,22,Delivered,Card,2.5,47
ORD000190,2025-02-18,CUST02684,Pooja,Bangalore,"Pizza Point","South Indian",Dosa,1,1007.35,206.91,64.92,51,Cancelled,Card,3.1,48
ORD000191,2025-02-03,CUST00310,Rohan,Mumbai,"Biryani House",Biryani,"Ice Cream",4,1527.92,69.39,39.45,88,Delivered,Cash,3.7,49
ORD000192,2024-01-20,CUST02733,Pooja,Delhi,"Food Factory",Dessert,"Chicken Biryani",1,2031.68,2.34,26.82,13,Delivered,UPI,3.7,50
ORD000020,2024-04-30,CUST01903,Sneha,Bangalore,"Food Factory",Biryani,Dosa,6,2160.21,11.19,95.62,57,Pending,Cash,4.3,51
ORD000021,2025-07-19,CUST00236,Anjali,Hyderabad,"Burger Hub","North Indian","Paneer Pizza",1,971.03,146.65,76.04,74,Delivered,Card,4.3,52
ORD000193,2025-03-30,CUST01103,Unknown,Pune,"Food Factory",Burger,"Veg Burger",5,2075.80,76.04,75.13,87,Delivered,Cash,2.9,53
ORD000194,2025-05-17,CUST00955,Priya,Hyderabad,"Biryani House",Pizza,Dosa,2,1039.80,71.25,89.08,71,Delivered,Cash,4.8,54
ORD000068,2024-11-26,CUST00520,Rohan,Delhi,"Food Factory","North Indian","Chicken Burger",1,1193.11,191.08,44.72,36,Delivered,Wallet,4.1,55
ORD000022,2024-09-10,CUST00979,Sneha,Bangalore,"Pizza Point",Biryani,"Paneer Pizza",5,239.89,160.19,56.46,42,Delivered,Cash,2.8,56
ORD000195,2024-10-09,CUST02855,Pooja,Bangalore,"Burger Hub","North Indian","Ice Cream",5,1931.56,108.64,57.74,84,Delivered,Unknown,4.6,57
ORD000069,2024-01-31,CUST01759,Rohan,Pune,"Pizza Point",Biryani,"Paneer Pizza",2,1062.14,280.34,72.22,59,Delivered,Wallet,3.1,58
ORD000300,2025-07-20,CUST01288,Rahul,Delhi,"Burger Hub",Dessert,"Paneer Pizza",5,2413.01,8.58,51.26,59,Pending,Card,4.7,59
ORD000301,2024-11-10,CUST02187,Priya,Bangalore,"Urban Tadka","North Indian","Chicken Biryani",4,1659.73,242.69,49.40,45,Delivered,Cash,2.7,60
ORD000023,2025-12-20,CUST02453,Anjali,Bangalore,"Pizza Point",Burger,Dosa,1,398.72,287.56,48.82,86,Delivered,Cash,4.1,61
ORD000196,2024-04-12,CUST02066,Karan,Bangalore,"Urban Tadka","South Indian","Ice Cream",4,2004.67,265.41,37.35,83,Delivered,Cash,3.7,62
ORD000197,2024-11-07,CUST01605,Amit,Hyderabad,"Biryani House",Burger,"Paneer Pizza",3,607.82,266.53,43.69,10,Delivered,UPI,3.8,63
ORD000070,2025-04-28,CUST02858,Unknown,Hyderabad,"Burger Hub","South Indian",Dosa,4,949.61,218.25,21.24,36,Delivered,Unknown,4.5,64
ORD000198,2025-09-26,CUST02880,Anjali,Hyderabad,"Pizza Point",Pizza,"Ice Cream",3,1055.85,176.45,44.81,34,Cancelled,UPI,4.5,65
ORD000024,2025-09-24,CUST01774,Karan,Bangalore,"Food Factory",Burger,"Chicken Burger",3,1325.97,14.61,51.62,65,Delivered,Cash,3.3,66
ORD000199,2024-10-18,CUST00297,Pooja,Chennai,"Urban Tadka","North Indian","Ice Cream",4,832.12,158.83,80.62,76,Delivered,Card,5.0,67
ORD000072,2024-10-14,CUST02707,Rahul,Delhi,"Pizza Point",Pizza,"Paneer Pizza",6,991.31,53.21,81.80,86,Cancelled,Wallet,4.8,68
ORD000025,2025-10-24,CUST00132,Amit,Bangalore,"Burger Hub",Biryani,"Chicken Burger",5,1313.53,153.80,32.55,10,Pending,Unknown,2.8,69
ORD000200,2025-03-29,CUST00277,Karan,Bangalore,"Pizza Point",Dessert,Margherita,5,2190.75,265.59,72.81,77,Delivered,Wallet,2.6,70
ORD000026,2025-09-03,CUST00893,Anjali,Bangalore,"Spice Kitchen",Biryani,"Ice Cream",4,2448.06,234.93,96.54,72,Delivered,Card,4.9,71
ORD000201,2024-07-30,CUST01997,Karan,Delhi,"Pizza Point","North Indian",Margherita,2,606.12,49.14,46.09,66,Delivered,Unknown,3.7,72
ORD000073,2024-07-03,CUST00069,Amit,Hyderabad,"Burger Hub",Dessert,"Chicken Biryani",2,308.03,19.48,41.46,12,Delivered,Card,4.3,73
ORD000302,2025-08-19,CUST01810,Rahul,Chennai,"Biryani House",Biryani,Margherita,4,1063.48,106.36,58.81,28,Delivered,Card,4.9,74
ORD000074,2025-12-27,CUST02543,Karan,Chennai,"Food Factory",Dessert,"Chicken Biryani",5,2007.26,214.11,41.51,35,Delivered,Unknown,4.7,75
ORD000202,2025-08-15,CUST02897,Priya,Delhi,"Urban Tadka","South Indian","Ice Cream",6,533.31,152.23,68.96,26,Pending,Card,3.9,76
ORD000027,2024-01-16,CUST02213,Karan,Chennai,"Spice Kitchen",Pizza,"Chicken Biryani",3,263.11,79.92,45.60,55,Cancelled,UPI,2.7,77
ORD000203,2024-02-03,CUST00555,Rahul,Bangalore,"Biryani House","South Indian","Ice Cream",4,1507.00,169.79,24.55,26,Pending,Card,4.6,78
ORD000303,2025-05-21,CUST00767,Rohan,Chennai,"Spice Kitchen","North Indian",Margherita,1,302.50,98.27,92.31,28,Delivered,Card,3.6,79
ORD000204,2024-09-09,CUST01970,Rohan,Bangalore,"Urban Tadka",Pizza,"Paneer Pizza",3,592.75,99.09,60.12,43,Delivered,Cash,4.9,80
ORD000028,2024-12-03,CUST01400,Karan,Hyderabad,"Biryani House","North Indian",Margherita,1,2272.69,188.48,91.51,76,Cancelled,UPI,2.6,81
ORD000304,2025-10-14,CUST01666,Karan,Pune,"Burger Hub",Burger,"Paneer Pizza",1,1160.46,87.81,79.95,49,Pending,UPI,3.5,82
ORD000029,2024-12-26,CUST02743,Sneha,Bangalore,"Spice Kitchen",Dessert,Margherita,5,627.27,188.54,21.73,17,Delivered,Unknown,4.9,83
ORD000305,2025-03-05,CUST00643,Priya,Bangalore,"Biryani House","South Indian","Chicken Biryani",3,966.39,285.85,55.46,75,Delivered,Wallet,4.8,84
ORD000030,2024-11-14,CUST02855,Pooja,Chennai,"Pizza Point","North Indian","Ice Cream",3,2225.09,164.25,32.36,68,Delivered,Card,5.0,85
ORD000031,2024-11-04,CUST00878,Unknown,Bangalore,"Biryani House",Dessert,"Paneer Pizza",6,870.87,45.72,73.40,39,Delivered,UPI,4.9,86
ORD000075,2024-09-24,CUST02703,Karan,Chennai,"Burger Hub",Pizza,"Veg Burger",5,2428.77,185.85,50.84,11,Cancelled,Unknown,4.6,87
ORD000205,2024-09-04,CUST01311,Priya,Hyderabad,"Pizza Point",Pizza,Dosa,5,2226.91,291.89,61.19,66,Delivered,UPI,2.5,88
ORD000076,2024-03-08,CUST01570,Unknown,Bangalore,"Burger Hub",Pizza,"Ice Cream",5,1655.53,93.31,83.84,81,Delivered,Card,3.8,89
ORD000206,2025-02-14,CUST02074,Sneha,Mumbai,"Urban Tadka","South Indian","Veg Burger",5,882.52,235.19,93.87,40,Pending,UPI,3.6,90
ORD000077,2024-06-10,CUST02388,Unknown,Hyderabad,"Urban Tadka",Dessert,"Chicken Biryani",6,1508.31,287.84,29.13,67,Cancelled,UPI,3.6,91
ORD000207,2025-09-02,CUST01517,Sneha,Delhi,"Food Factory",Biryani,"Chicken Biryani",3,1754.45,159.20,65.00,70,Pending,Unknown,4.5,92
ORD000208,2025-05-21,CUST01162,Sneha,Pune,"Food Factory",Burger,"Paneer Pizza",2,918.16,116.40,72.07,57,Delivered,Wallet,4.3,93
ORD000306,2025-05-15,CUST00256,Priya,Delhi,"Pizza Point","North Indian","Ice Cream",2,217.10,68.04,35.69,82,Delivered,UPI,4.1,94
ORD000209,2024-12-12,CUST00589,Sneha,Delhi,"Burger Hub",Pizza,Margherita,2,2426.32,37.36,22.53,79,Delivered,Wallet,3.3,95
ORD000307,2025-04-05,CUST02900,Karan,Chennai,"Urban Tadka","South Indian",Margherita,3,2062.59,26.57,83.69,48,Delivered,UPI,3.2,96
ORD000078,2025-10-31,CUST01049,Anjali,Bangalore,"Spice Kitchen",Pizza,"Ice Cream",4,1766.96,17.62,70.38,65,Delivered,Cash,2.9,97
ORD000210,2024-12-05,CUST01357,Anjali,Hyderabad,"Spice Kitchen",Biryani,"Veg Burger",4,888.43,111.50,26.78,46,Delivered,Wallet,4.5,98
ORD000032,2025-05-06,CUST01315,Sneha,Hyderabad,"Urban Tadka",Dessert,"Chicken Burger",6,1659.98,27.97,81.90,81,Delivered,Unknown,4.1,99
ORD000308,2024-04-27,CUST02967,Amit,Bangalore,"Pizza Point",Burger,"Ice Cream",5,823.35,133.20,61.21,17,Delivered,Cash,3.5,100
ORD000079,2025-01-29,CUST01060,Rohan,Bangalore,"Urban Tadka",Pizza,"Chicken Biryani",3,1017.00,95.79,79.16,24,Delivered,Card,4.8,101
ORD000211,2025-01-06,CUST02733,Karan,Delhi,"Spice Kitchen",Burger,"Chicken Burger",3,368.58,31.53,57.65,70,Delivered,Card,3.8,102
ORD000212,2025-09-28,CUST00383,Rahul,Bangalore,"Urban Tadka","North Indian","Paneer Pizza",5,1299.43,124.74,36.81,66,Delivered,Card,4.5,103
ORD000033,2025-11-19,CUST01683,Karan,Chennai,"Pizza Point",Biryani,"Paneer Pizza",3,1069.15,285.79,83.57,65,Delivered,Card,3.2,104
ORD000213,2024-06-06,CUST02230,Rohan,Bangalore,"Food Factory",Pizza,"Paneer Pizza",6,598.29,75.76,60.53,79,Pending,Card,4.8,105
ORD000080,2025-11-25,CUST00740,Pooja,Delhi,"Biryani House",Pizza,"Paneer Pizza",3,1693.26,55.71,72.32,21,Delivered,Wallet,4.4,106
ORD000214,2025-07-23,CUST00826,Unknown,Hyderabad,"Biryani House",Pizza,"Chicken Burger",4,600.80,223.39,70.14,82,Cancelled,Wallet,4.7,107
ORD000034,2025-04-18,CUST02202,Rohan,Mumbai,"Spice Kitchen",Biryani,"Chicken Burger",1,334.16,146.94,67.25,46,Cancelled,Cash,2.6,108
ORD000035,2024-05-02,CUST02184,Pooja,Delhi,"Pizza Point",Dessert,"Veg Burger",2,998.72,60.12,32.27,26,Cancelled,Cash,3.0,109
ORD000309,2025-06-21,CUST00058,Priya,Hyderabad,"Burger Hub","South Indian",Margherita,1,2485.31,195.35,35.62,53,Delivered,Unknown,3.1,110
ORD000036,2024-09-05,CUST01366,Sneha,Mumbai,"Biryani House",Pizza,"Chicken Biryani",4,2480.01,164.18,63.09,76,Pending,Wallet,2.8,111
ORD000215,2025-05-11,CUST02371,Sneha,Mumbai,"Burger Hub",Burger,"Veg Burger",6,1424.06,84.08,68.11,34,Cancelled,Wallet,2.9,112
ORD000310,2024-04-11,CUST01916,Rohan,Bangalore,"Urban Tadka",Dessert,"Paneer Pizza",3,2397.18,160.13,42.26,30,Pending,UPI,4.6,113
ORD000216,2024-10-18,CUST02566,Priya,Bangalore,"Food Factory","North Indian","Ice Cream",6,1542.30,295.20,62.29,16,Delivered,Unknown,4.9,114
ORD000217,2024-01-23,CUST02697,Pooja,Bangalore,"Biryani House",Pizza,"Chicken Biryani",2,1032.08,209.86,99.44,74,Cancelled,Card,4.0,115
ORD000218,2025-09-16,CUST01093,Sneha,Bangalore,"Spice Kitchen","South Indian",Dosa,4,2485.11,258.59,35.18,70,Delivered,Wallet,3.1,116
ORD000037,2025-02-20,CUST02473,Karan,Bangalore,"Biryani House",Biryani,"Paneer Pizza",1,207.21,44.40,79.50,13,Delivered,Unknown,4.2,117
ORD000081,2025-03-07,CUST02171,Anjali,Hyderabad,"Urban Tadka","North Indian",Dosa,3,2183.53,18.84,63.88,49,Delivered,Card,3.3,118
ORD000311,2025-06-10,CUST01079,Sneha,Hyderabad,"Urban Tadka",Biryani,Dosa,5,1405.02,141.69,25.79,10,Cancelled,Cash,3.3,119
ORD000039,2024-01-19,CUST02390,Pooja,Bangalore,"Biryani House",Pizza,"Veg Burger",3,1669.48,235.67,88.82,85,Pending,Unknown,4.5,120
ORD000082,2024-06-25,CUST02311,Rohan,Hyderabad,"Urban Tadka","South Indian",Dosa,6,800.53,9.75,77.22,58,Delivered,Card,2.6,121
ORD000219,2025-08-23,CUST01832,Rahul,Bangalore,"Pizza Point","North Indian",Dosa,2,2483.24,262.30,23.59,55,Delivered,Wallet,3.2,122
ORD000040,2024-06-08,CUST01641,Sneha,Delhi,"Food Factory",Pizza,"Ice Cream",1,1499.31,293.21,40.57,64,Delivered,Cash,4.8,123
ORD000083,2024-08-28,CUST00299,Anjali,Bangalore,"Burger Hub",Burger,"Paneer Pizza",5,1533.83,5.94,20.36,43,Cancelled,Card,4.3,124
ORD000041,2024-01-19,CUST01745,Anjali,Delhi,"Spice Kitchen",Burger,"Chicken Biryani",1,2190.39,44.14,27.19,84,Delivered,Wallet,3.9,125
ORD000084,2025-03-08,CUST01258,Rahul,Bangalore,"Spice Kitchen",Pizza,"Ice Cream",6,930.21,179.06,27.98,37,Delivered,Unknown,3.8,126
ORD000220,2025-03-12,CUST01013,Pooja,Pune,"Burger Hub",Biryani,Dosa,6,164.95,17.67,97.54,64,Pending,Unknown,3.0,127
ORD000042,2024-08-09,CUST02502,Priya,Delhi,"Spice Kitchen",Pizza,"Chicken Biryani",6,1174.27,259.98,67.93,22,Delivered,UPI,4.3,128
ORD000222,2024-08-02,CUST00896,Rohan,Delhi,"Burger Hub",Pizza,"Chicken Biryani",5,1595.17,190.44,57.37,12,Cancelled,Unknown,2.7,129
ORD000223,2025-08-17,CUST01556,Amit,Mumbai,"Biryani House","South Indian",Dosa,2,339.04,137.43,30.48,82,Delivered,Unknown,5.0,130
ORD000312,2025-11-23,CUST02444,Priya,Mumbai,"Food Factory",Biryani,"Veg Burger",3,767.89,139.65,43.69,50,Delivered,Card,4.2,131
ORD000224,2025-08-31,CUST02580,Anjali,Pune,"Pizza Point",Burger,"Chicken Biryani",3,2419.28,195.57,79.71,64,Pending,Unknown,4.6,132
ORD000086,2024-09-28,CUST00841,Rohan,Hyderabad,"Food Factory",Dessert,"Ice Cream",5,1184.97,249.30,56.28,38,Delivered,Unknown,2.9,133
ORD000087,2025-10-04,CUST00009,Sneha,Bangalore,"Biryani House","North Indian","Chicken Biryani",4,2267.44,40.64,95.33,89,Delivered,Unknown,4.3,134
ORD000225,2024-08-09,CUST01395,Rahul,Bangalore,"Food Factory",Burger,Dosa,5,831.72,268.70,52.62,52,Delivered,Unknown,3.2,135
ORD000043,2025-11-11,CUST01994,Pooja,Bangalore,"Spice Kitchen","North Indian","Chicken Biryani",2,1499.96,24.50,43.16,55,Pending,UPI,3.2,136
ORD000313,2024-12-05,CUST00256,Anjali,Bangalore,"Spice Kitchen",Burger,"Paneer Pizza",3,824.25,177.92,46.89,56,Delivered,Card,4.8,137
ORD000044,2024-01-06,CUST00703,Rahul,Mumbai,"Food Factory",Pizza,Dosa,3,632.08,28.92,69.76,19,Delivered,Wallet,4.1,138
ORD000314,2024-08-03,CUST02734,Priya,Bangalore,"Food Factory","North Indian","Chicken Biryani",4,2394.19,88.06,96.96,75,Delivered,Wallet,4.7,139
ORD000226,2024-03-19,CUST02306,Priya,Hyderabad,"Food Factory",Burger,"Chicken Biryani",1,2068.12,133.15,43.89,24,Delivered,Card,4.8,140
ORD000045,2025-11-12,CUST00668,Karan,Chennai,"Pizza Point",Pizza,"Paneer Pizza",1,1902.27,34.47,65.89,55,Cancelled,Cash,3.0,141
ORD000227,2024-05-08,CUST02255,Rohan,Chennai,"Burger Hub",Biryani,Margherita,3,1593.73,233.85,77.21,41,Delivered,Cash,4.2,142
ORD000088,2025-08-14,CUST01349,Sneha,Hyderabad,"Food Factory","North Indian","Ice Cream",3,1209.34,44.81,99.35,39,Delivered,Unknown,4.3,143
ORD000315,2024-06-27,CUST02109,Unknown,Mumbai,"Urban Tadka",Pizza,"Ice Cream",2,544.34,43.20,85.44,42,Pending,Unknown,4.2,144
ORD000228,2025-06-23,CUST01938,Karan,Hyderabad,"Food Factory",Pizza,"Chicken Biryani",2,2235.16,91.90,43.83,28,Pending,Cash,3.8,145
ORD000046,2024-11-27,CUST00181,Unknown,Bangalore,"Urban Tadka",Dessert,"Veg Burger",5,1194.01,166.81,66.61,33,Delivered,Cash,5.0,146
ORD000229,2025-06-29,CUST01511,Rohan,Bangalore,"Spice Kitchen","South Indian","Chicken Biryani",5,1270.25,244.36,75.99,77,Delivered,Cash,2.6,147
ORD000089,2024-01-20,CUST02976,Pooja,Chennai,"Food Factory","South Indian",Dosa,2,1289.42,52.00,85.90,29,Delivered,Cash,3.9,148
ORD000090,2025-08-03,CUST00118,Unknown,Hyderabad,"Urban Tadka",Burger,"Chicken Biryani",5,1227.91,19.14,30.31,54,Cancelled,UPI,2.6,149
ORD000316,2024-10-07,CUST01966,Rahul,Delhi,"Burger Hub",Biryani,"Ice Cream",4,1947.01,70.49,64.51,73,Cancelled,UPI,4.2,150
ORD000317,2025-12-27,CUST01967,Karan,Hyderabad,"Urban Tadka","South Indian",Dosa,2,890.38,273.10,46.62,12,Delivered,Wallet,4.1,151
ORD000047,2024-06-20,CUST01031,Pooja,Mumbai,"Urban Tadka","South Indian","Ice Cream",2,365.26,173.93,88.64,64,Delivered,UPI,2.5,152
ORD000318,2024-10-30,CUST01731,Anjali,Mumbai,"Food Factory",Pizza,"Chicken Biryani",4,1589.43,134.46,33.82,74,Delivered,Wallet,4.0,153
ORD000319,2025-12-31,CUST00846,Rahul,Delhi,"Biryani House","North Indian","Chicken Burger",3,2156.56,62.64,84.67,11,Delivered,Wallet,2.6,154
ORD000320,2024-05-31,CUST01909,Priya,Delhi,"Urban Tadka",Pizza,"Chicken Burger",6,712.46,237.33,68.46,34,Delivered,UPI,3.2,155
ORD000048,2025-10-20,CUST02774,Anjali,Mumbai,"Biryani House",Dessert,"Paneer Pizza",5,1401.78,144.56,84.32,67,Cancelled,Wallet,3.0,156
ORD000049,2025-03-31,CUST02382,Rohan,Chennai,"Spice Kitchen","North Indian","Chicken Biryani",3,667.46,270.15,37.82,19,Delivered,Wallet,4.9,157
ORD000050,2025-12-29,CUST02092,Priya,Delhi,"Urban Tadka","South Indian","Chicken Burger",1,2471.44,269.08,42.52,50,Delivered,UPI,4.3,158
ORD000051,2024-12-29,CUST02322,Anjali,Delhi,"Food Factory","South Indian",Dosa,6,1385.01,293.05,39.48,76,Cancelled,UPI,4.5,159
ORD000091,2024-08-13,CUST00124,Pooja,Bangalore,"Food Factory",Pizza,"Chicken Burger",2,2110.31,24.39,62.84,20,Pending,UPI,3.6,160
ORD000052,2025-07-13,CUST02066,Rahul,Bangalore,"Biryani House",Pizza,Margherita,2,160.59,183.14,62.74,53,Pending,UPI,2.6,161
ORD000092,2024-01-28,CUST00875,Amit,Delhi,"Pizza Point",Biryani,"Paneer Pizza",1,678.39,60.11,55.25,10,Pending,Unknown,3.4,162
ORD000321,2024-07-24,CUST00789,Rahul,Pune,"Biryani House",Pizza,Dosa,5,2104.14,95.59,38.17,10,Pending,Cash,4.9,163
ORD000054,2024-11-04,CUST00935,Sneha,Bangalore,"Biryani House",Biryani,Margherita,2,647.49,167.73,33.14,69,Cancelled,Card,3.1,164
ORD000093,2025-08-13,CUST00171,Rahul,Bangalore,"Burger Hub",Biryani,"Veg Burger",6,2434.86,11.92,36.56,50,Delivered,Card,4.2,165
ORD000230,2025-08-29,CUST02944,Rohan,Delhi,"Biryani House",Dessert,"Ice Cream",5,2332.66,3.42,80.44,36,Cancelled,Card,3.4,166
ORD000055,2024-04-18,CUST01157,Anjali,Bangalore,"Spice Kitchen",Burger,"Ice Cream",2,1365.61,0.30,50.78,13,Delivered,UPI,2.6,167
